month;day;hour;Hothouse;Coldhouse
1;15;:0910;0.108638304;0.00058308
1;15;:1010;0.093782772;0.00058308
1;15;:1110;0.09821769;0.00058308
1;15;:1210;0.083362846;0.00058308
1;15;:1310;0.09821769;0.00058308
1;15;:1410;0.114623999;0
1;15;:1510;0.130498338;0.010817942
1;15;:1610;0.105685892;0.0324536
1;15;:1710;0.091594638;0
1;15;:1810;0.098639692;0
1;15;:1910;0.105685892;0.010817942
1;15;:2010;0.098639692;0
1;15;:2110;0.091594638;0
1;15;:2210;0.077502926;0
1;15;:2310;0.070457185;0
1;16;:0010;0.063411673;0
1;16;:0110;0.070457185;0
1;16;:0210;0.077502926;0
1;16;:0310;0.077502926;0
1;16;:0410;0.084548439;0
1;16;:0510;0.077502926;0
1;16;:0610;0.070457185;0
1;16;:0710;0.091594638;0.010817942
1;16;:0810;0.121075341;0
1;16;:0910;0.125043926;0.004752554
1;16;:1010;0.108638304;0
1;16;:1110;0.104203386;0.00058308
1;16;:1210;0.104203386;0
1;16;:1310;0.129478843;0.010817942
1;16;:1410;0.150677466;0.0324536
1;16;:1510;0.170856594;0.054089145
1;16;:1610;0.112731404;0.010817942
1;16;:1710;0.105685892;0
1;16;:1810;0.105685892;0
1;16;:1910;0.112731404;0.010817942
1;16;:2010;0.112731404;0.010817942
1;16;:2110;0.119777146;0.021635658
1;16;:2210;0.119777146;0.021635658
1;16;:2310;0.126822658;0.0324536
1;17;:0010;0.119777146;0.021635658
1;17;:0110;0.119777146;0.021635658
1;17;:0210;0.126822658;0.0324536
1;17;:0310;0.126822658;0.0324536
1;17;:0410;0.126822658;0.0324536
1;17;:0510;0.126822658;0.0324536
1;17;:0610;0.119777146;0.021635658
1;17;:0710;0.140913912;0.086542745
1;17;:0810;0.191702632;0.075724803
1;17;:0910;0.187566232;0.069659415
1;17;:1010;0.156305079;0.0324536
1;17;:1110;0.09821769;0.00116616
1;17;:1210;0.135464539;0.01557027
1;17;:1310;0.139899457;0.021635658
1;17;:1410;0.160739997;0.037206154
1;17;:1510;0.180946502;0.064906861
1;17;:1610;0.098639692;0
1;17;:1710;0.091594638;0
1;17;:1810;0.091594638;0
1;17;:1910;0.091594638;0
1;17;:2010;0.084548439;0
1;17;:2110;0.084548439;0
1;17;:2210;0.077502926;0
1;17;:2310;0.084548439;0
1;18;:0010;0.091594638;0
1;18;:0110;0.091594638;0
1;18;:0210;0.091594638;0
1;18;:0310;0.091594638;0
1;18;:0410;0.091594638;0
1;18;:0510;0.091594638;0
1;18;:0610;0.084548439;0
1;18;:0710;0.098639692;0.021635658
1;18;:0810;0.121075341;0
1;18;:0910;0.114623999;0.00058308
1;18;:1010;0.087797764;0.00058308
1;18;:1110;0.072942233;0
1;18;:1210;0.083362846;0
1;18;:1310;0.072942233;0
1;18;:1410;0.083362846;0
1;18;:1510;0.100229417;0
1;18;:1610;0.070457185;0
1;18;:1710;0.063411673;0
1;18;:1810;0.070457185;0
1;18;:1910;0.084548439;0
1;18;:2010;0.077502926;0
1;18;:2110;0.091594638;0
1;18;:2210;0.084548439;0
1;18;:2310;0.091594638;0
1;19;:0010;0.084548439;0
1;19;:0110;0.091594638;0
1;19;:0210;0.091594638;0
1;19;:0310;0.091594638;0
1;19;:0410;0.091594638;0
1;19;:0510;0.091594638;0
1;19;:0610;0.084548439;0
1;19;:0710;0.105685892;0.0324536
1;19;:0810;0.141254469;0.021635658
1;19;:0910;0.135464539;0.01557027
1;19;:1010;0.129478843;0.004752554
1;19;:1110;0.125043926;0.004752554
1;19;:1210;0.125043926;0
1;19;:1310;0.139899457;0.01557027
1;19;:1410;0.135600166;0.01557027
1;19;:1510;0.145689387;0.026388212
1;19;:1610;0.105685892;0.0324536
1;19;:1710;0.077502926;0
1;19;:1810;0.077502926;0
1;19;:1910;0.084548439;0
1;19;:2010;0.077502926;0
1;19;:2110;0.084548439;0
1;19;:2210;0.077502926;0
1;19;:2310;0.077502926;0
1;20;:0010;0.091594638;0
1;20;:0110;0.098639692;0
1;20;:0210;0.105685892;0
1;20;:0310;0.112731404;0.010817942
1;20;:0410;0.112731404;0.010817942
1;20;:0510;0.112731404;0.010817942
1;20;:0610;0.105685892;0
1;20;:0710;0.119777146;0.054089145
1;20;:0810;0.171523504;0.054089145
1;20;:0910;0.166725005;0.048024096
1;20;:1010;0.087797764;0.00058308
1;20;:1110;0.056536611;0
1;20;:1210;0.040130989;0
1;20;:1310;0.056536611;0
1;20;:1410;0.087797764;0.00058308
1;20;:1510;0.135464539;0.010817942
1;20;:1610;0.171523504;0.054089145
1;20;:1710;0.119777146;0.021635658
1;20;:1810;0.126822658;0.0324536
1;20;:1910;0.133868858;0.043271542
1;20;:2010;0.126822658;0.0324536
1;20;:2110;0.133868858;0.043271542
1;20;:2210;0.126822658;0.0324536
1;20;:2310;0.133868858;0.043271542
1;21;:0010;0.126822658;0.0324536
1;21;:0110;0.126822658;0.0324536
1;21;:0210;0.126822658;0.0324536
1;21;:0310;0.133868858;0.043271542
1;21;:0410;0.133868858;0.043271542
1;21;:0510;0.126822658;0.0324536
1;21;:0610;0.119777146;0.021635658
1;21;:0710;0.140913912;0.086542745
1;21;:0810;0.20112563;0.086542745
1;21;:0910;0.177145618;0.058841473
1;21;:1010;0.156305079;0.0324536
1;21;:1110;0.150319383;0.026388212
1;21;:1210;0.145884465;0.026388212
1;21;:1310;0.166725005;0.043271542
1;21;:1410;0.181580536;0.058841473
1;21;:1510;0.19200115;0.069659415
1;21;:1610;0.21188176;0.097360687
1;21;:1710;0.133868858;0.043271542
1;21;:1810;0.133868858;0.043271542
1;21;:1910;0.133868858;0.043271542
1;21;:2010;0.126822658;0.0324536
1;21;:2110;0.126822658;0.0324536
1;21;:2210;0.112731404;0.010817942
1;21;:2310;0.112731404;0.010817942
1;22;:0010;0.119777146;0.021635658
1;22;:0110;0.119777146;0.021635658
1;22;:0210;0.119777146;0.021635658
1;22;:0310;0.119777146;0.021635658
1;22;:0410;0.119777146;0.021635658
1;22;:0510;0.119777146;0.021635658
1;22;:0610;0.112731404;0.010817942
1;22;:0710;0.119777146;0.010817942
1;22;:0810;0.161433597;0
1;22;:0910;0.145884465;0
1;22;:1010;0.139899457;0.00058308
1;22;:1110;0.135464539;0
1;22;:1210;0.135464539;0
1;22;:1310;0.139899457;0.00058308
1;22;:1410;0.150319383;0.00058308
1;22;:1510;0.151344376;0
1;22;:1610;0.112731404;0
1;22;:1710;0.091594638;0
1;22;:1810;0.091594638;0
1;22;:1910;0.098639692;0
1;22;:2010;0.091594638;0
1;22;:2110;0.098639692;0
1;22;:2210;0.091594638;0
1;22;:2310;0.098639692;0
1;23;:0010;0.098639692;0
1;23;:0110;0.091594638;0
1;23;:0210;0.091594638;0
1;23;:0310;0.091594638;0
1;23;:0410;0.098639692;0
1;23;:0510;0.098639692;0
1;23;:0610;0.098639692;0
1;23;:0710;0.112731404;0
1;23;:0810;0.151344376;0
1;23;:0910;0.135464539;0
1;23;:1010;0.114623999;0.00058308
1;23;:1110;0.104203386;0.00058308
1;23;:1210;0.087797764;0
1;23;:1310;0.108638304;0.00058308
1;23;:1410;0.119058917;0
1;23;:1510;0.135464539;0
1;23;:1610;0.145689387;0.00058308
1;23;:1710;0.091594638;0
1;23;:1810;0.091594638;0
1;23;:1910;0.098639692;0
1;23;:2010;0.091594638;0
1;23;:2110;0.098639692;0
1;23;:2210;0.098639692;0
1;23;:2310;0.112731404;0.021635658
1;24;:0010;0.108730631;0.004752554
1;24;:0110;0.115775685;0.01557027
1;24;:0210;0.108730631;0.004752554
1;24;:0310;0.108730631;0.004752554
1;24;:0410;0.108730631;0.004752554
1;24;:0510;0.108730631;0.004752554
1;24;:0610;0.101684431;0
1;24;:0710;0.126822658;0.021635658
1;24;:0810;0.171523504;0.010817942
1;24;:0910;0.156305079;0
1;24;:1010;0.145884465;0.00058308
1;24;:1110;0.145884465;0
1;24;:1210;0.145884465;0
1;24;:1310;0.156305079;0.00058308
1;24;:1410;0.166725005;0.004752554
1;24;:1510;0.181613298;0.021635658
1;24;:1610;0.133868858;0.0324536
1;24;:1710;0.101684431;0
1;24;:1810;0.101684431;0
1;24;:1910;0.115775685;0.01557027
1;24;:2010;0.115775685;0.01557027
1;24;:2110;0.129867397;0.037206154
1;24;:2210;0.122821885;0.026388212
1;24;:2310;0.129867397;0.037206154
1;25;:0010;0.133868858;0.043271542
1;25;:0110;0.133868858;0.043271542
1;25;:0210;0.126822658;0.0324536
1;25;:0310;0.126822658;0.0324536
1;25;:0410;0.126822658;0.0324536
1;25;:0510;0.126822658;0.0324536
1;25;:0610;0.119777146;0.021635658
1;25;:0710;0.140913912;0.043271542
1;25;:0810;0.191702632;0.0324536
1;25;:0910;0.197986158;0.0324536
1;25;:1010;0.177145618;0.01557027
1;25;:1110;0.177145618;0.010817942
1;25;:1210;0.177145618;0.010817942
1;25;:1310;0.187566232;0.026388212
1;25;:1410;0.197986158;0.037206154
1;25;:1510;0.201792426;0.043271542
1;25;:1610;0.147960111;0.054089145
1;25;:1710;0.126822658;0.0324536
1;25;:1810;0.126822658;0.0324536
1;25;:1910;0.133868858;0.043271542
1;25;:2010;0.119777146;0.021635658
1;25;:2110;0.126822658;0.0324536
1;25;:2210;0.112731404;0.010817942
1;25;:2310;0.119777146;0.021635658
1;26;:0010;0.119777146;0.0324536
1;26;:0110;0.112731404;0.021635658
1;26;:0210;0.112731404;0.021635658
1;26;:0310;0.112731404;0.021635658
1;26;:0410;0.112731404;0.021635658
