month;day;hour;P [W]
1;16;:1110;213.1427273
1;16;:1210;230.5990909
1;16;:1310;247.08
1;16;:1410;150.0972727
1;16;:1510;0
1;16;:1610;0
1;16;:1710;0
1;16;:1810;0
1;16;:1910;0
1;16;:2010;0
1;16;:2110;0
1;16;:2210;0
1;16;:2310;0
1;17;:0010;0
1;17;:0110;0
1;17;:0210;0
1;17;:0310;0
1;17;:0410;0
1;17;:0510;0
1;17;:0610;0
1;17;:0710;20.44363636
1;17;:0810;99.79636364
1;17;:0910;146.4427273
1;17;:1010;153.4772727
1;17;:1110;127.0190909
1;17;:1210;127.6409091
1;17;:1310;104.1
1;17;:1410;49.53818182
1;17;:1510;0
1;17;:1610;0
1;17;:1710;0
1;17;:1810;0
1;17;:1910;0
1;17;:2010;0
1;17;:2110;0
1;17;:2210;0
1;17;:2310;0
1;18;:0010;0
1;18;:0110;0
1;18;:0210;0
1;18;:0310;0
1;18;:0410;0
1;18;:0510;0
1;18;:0610;0
1;18;:0710;12.57
1;18;:0810;82.52
1;18;:0910;133.1890909
1;18;:1010;226.8463636
1;18;:1110;205.7854545
1;18;:1210;178.9818182
1;18;:1310;165.02
1;18;:1410;103.5972727
1;18;:1510;0
1;18;:1610;0
1;18;:1710;0
1;18;:1810;0
1;18;:1910;0
1;18;:2010;0
1;18;:2110;0
1;18;:2210;0
1;18;:2310;0
1;19;:0010;0
1;19;:0110;0
1;19;:0210;0
1;19;:0310;0
1;19;:0410;0
1;19;:0510;0
1;19;:0610;0
1;19;:0710;25.46363636
1;19;:0810;88.41454545
1;19;:0910;106.9736364
1;19;:1010;131.9254545
1;19;:1110;142.9
1;19;:1210;188.4936364
1;19;:1310;124.4336364
1;19;:1410;81.93363636
1;19;:1510;0
1;19;:1610;0
1;19;:1710;0
1;19;:1810;0
1;19;:1910;0
1;19;:2010;0
1;19;:2110;0
1;19;:2210;0
1;19;:2310;0
1;20;:0010;0
1;20;:0110;0
1;20;:0210;0
1;20;:0310;0
1;20;:0410;0
1;20;:0510;0
1;20;:0610;0
1;20;:0710;16.95636364
1;20;:0810;86.30727273
1;20;:0910;125.4118182
1;20;:1010;188.6327273
1;20;:1110;255.1636364
1;20;:1210;179.2509091
1;20;:1310;124.9709091
1;20;:1410;96.33
1;20;:1510;0.55
1;20;:1610;0
1;20;:1710;0
1;20;:1810;0
1;20;:1910;0
1;20;:2010;0
1;20;:2110;0
1;20;:2210;0
1;20;:2310;0
1;21;:0010;0
1;21;:0110;0
1;21;:0210;0
1;21;:0310;0
1;21;:0410;0
1;21;:0510;0
1;21;:0610;0
1;21;:0710;52.22818182
1;21;:0810;124.3954545
1;21;:0910;182.3018182
1;21;:1010;210.0245455
1;21;:1110;180.0927273
1;21;:1210;127.3618182
1;21;:1310;92.71363636
1;21;:1410;77.46818182
1;21;:1510;6.617272727
1;21;:1610;0
1;21;:1710;0
1;21;:1810;0
1;21;:1910;0
1;21;:2010;0
1;21;:2110;0
1;21;:2210;0
1;21;:2310;0
1;22;:0010;0
1;22;:0110;0
1;22;:0210;0
1;22;:0310;0
1;22;:0410;0
1;22;:0510;0
1;22;:0610;0
1;22;:0710;28.58727273
1;22;:0810;60.08454545
1;22;:0910;87.88636364
1;22;:1010;121.8854545
1;22;:1110;177.6872727
1;22;:1210;205.3209091
